"skill_id","skills","demand_count","avg_salary"
8,"go","27","115320"
80,"snowflake","37","112948"
74,"azure","34","111225"
76,"aws","32","108317"
79,"oracle","37","104534"
185,"looker","49","103795"
1,"python","236","101397"
5,"r","148","100499"
182,"tableau","230","99288"
7,"sas","63","98902"
186,"sas","63","98902"
61,"sql server","35","97786"
183,"power bi","110","97431"
0,"sql","398","97237"
215,"flow","28","97200"
196,"powerpoint","58","88701"
181,"excel","256","87288"
192,"sheets","32","86088"
188,"word","48","82576"
